pose_id,pose_name,category,mode,view,canvas,yaw,pitch,bbox_x,bbox_y,bbox_w,bbox_h,clipped,occupation_pct,silhouette_pct,margin_top,margin_bottom,margin_left,margin_right
soft-sit,"Soft Sit",seated,skeleton,0/0,160x180,0,0,31.4,17.9,106.1,88.8,0,32.7,48.3,17.9,73.4,31.4,22.4
soft-sit,"Soft Sit",seated,skeleton,90/0,160x180,90,0,64.2,17.9,58.6,88.8,0,18.1,47.1,17.9,73.4,64.2,37.2
soft-sit,"Soft Sit",seated,skeleton,45/0,160x180,45,0,44.9,17.9,87.2,88.8,0,26.9,47.7,17.9,73.4,44.9,27.8
soft-sit,"Soft Sit",seated,ghost,0/0,160x180,0,0,31.4,17.9,106.1,88.8,0,32.7,32.9,17.9,73.4,31.4,22.4
soft-sit,"Soft Sit",seated,ghost,90/0,160x180,90,0,64.2,17.9,58.6,88.8,0,18.1,44.6,17.9,73.4,64.2,37.2
soft-sit,"Soft Sit",seated,ghost,45/0,160x180,45,0,44.9,17.9,87.2,88.8,0,26.9,37.0,17.9,73.4,44.9,27.8
window-seat,"Window Seat",seated,avatar,0/0,160x180,0,0,39.6,16.4,84.5,90.5,0,26.6,31.6,16.4,73.1,39.6,35.9
window-seat,"Window Seat",seated,avatar,90/0,160x180,90,0,57.2,16.4,63.4,90.5,0,19.9,21.5,16.4,73.1,57.2,39.5
window-seat,"Window Seat",seated,avatar,45/0,160x180,45,0,46.9,16.4,85.1,90.5,0,26.8,26.4,16.4,73.1,46.9,27.9
window-seat,"Window Seat",seated,skeleton,0/0,160x180,0,0,39.6,16.4,84.5,90.5,0,26.6,48.3,16.4,73.1,39.6,35.9
window-seat,"Window Seat",seated,skeleton,90/0,160x180,90,0,57.2,16.4,63.4,90.5,0,19.9,47.1,16.4,73.1,57.2,39.5
window-seat,"Window Seat",seated,skeleton,45/0,160x180,45,0,46.9,16.4,85.1,90.5,0,26.8,47.7,16.4,73.1,46.9,27.9
window-seat,"Window Seat",seated,ghost,0/0,160x180,0,0,39.6,16.4,84.5,90.5,0,26.6,39.8,16.4,73.1,39.6,35.9
window-seat,"Window Seat",seated,ghost,90/0,160x180,90,0,57.2,16.4,63.4,90.5,0,19.9,43.8,16.4,73.1,57.2,39.5
window-seat,"Window Seat",seated,ghost,45/0,160x180,45,0,46.9,16.4,85.1,90.5,0,26.8,38.1,16.4,73.1,46.9,27.9
forearms-crossed-table,"Forearms Crossed Table",lean-seat,avatar,0/0,160x180,0,0,31.5,17.4,100.3,95.8,0,33.4,23.4,17.4,66.9,31.5,28.2
