pose_id,mode,view,before_occ_pct,after_occ_pct,before_sil_pct,after_sil_pct,before_clipped,after_clipped
lounger-recline,avatar,quarter,24.5,24.5,11.3,22.2,0,0
lounger-recline,skeleton,front,24.5,24.5,37.3,48.3,0,0
lounger-recline,skeleton,side,30.0,30.0,36.3,47.1,0,0
lounger-recline,skeleton,quarter,24.5,24.5,36.8,47.7,0,0
lounger-recline,ghost,front,24.5,24.5,18.3,31.9,0,0
lounger-recline,ghost,side,30.0,30.0,20.9,33.7,0,0
lounger-recline,ghost,quarter,24.5,24.5,20.3,34.0,0,0
crouching-prowl,avatar,front,31.6,31.6,14.7,28.2,0,0
crouching-prowl,avatar,side,23.7,23.7,10.7,18.2,0,0
crouching-prowl,avatar,quarter,28.9,28.9,14.4,28.9,0,0
crouching-prowl,skeleton,front,31.6,31.6,39.0,50.5,0,0
crouching-prowl,skeleton,side,23.7,23.7,37.2,48.3,0,0
crouching-prowl,skeleton,quarter,28.9,28.9,38.4,49.8,0,0
crouching-prowl,ghost,front,31.6,31.6,21.3,39.0,0,0
crouching-prowl,ghost,side,23.7,23.7,20.1,42.2,0,0
crouching-prowl,ghost,quarter,28.9,28.9,20.7,42.0,0,0
leap-forward,avatar,front,29.2,29.2,13.3,14.0,0,0
leap-forward,avatar,side,53.1,53.1,11.6,11.5,0,0
leap-forward,avatar,quarter,37.2,37.2,12.2,12.5,0,0
leap-forward,skeleton,front,29.2,29.2,37.3,48.3,0,0
leap-forward,skeleton,side,53.1,53.1,36.3,47.1,0,0
leap-forward,skeleton,quarter,37.2,37.2,36.8,47.7,0,0
leap-forward,ghost,front,29.2,29.2,21.8,36.1,0,0
leap-forward,ghost,side,53.1,53.1,22.1,36.7,0,0
leap-forward,ghost,quarter,37.2,37.2,21.8,36.2,0,0
arms-overhead,avatar,front,52.2,52.2,15.1,11.0,1,1
arms-overhead,avatar,side,36.2,36.2,10.8,7.7,1,1
arms-overhead,avatar,quarter,48.7,48.7,13.5,9.9,1,1
arms-overhead,skeleton,front,52.2,52.2,37.3,48.3,1,1
arms-overhead,skeleton,side,36.2,36.2,36.3,47.1,1,1
arms-overhead,skeleton,quarter,48.7,48.7,36.8,47.7,1,1
arms-overhead,ghost,front,52.2,52.2,23.8,33.5,1,1
arms-overhead,ghost,side,36.2,36.2,22.3,33.5,1,1
arms-overhead,ghost,quarter,48.7,48.7,23.0,33.6,1,1
cross-body-arm,avatar,front,39.0,39.0,17.5,18.2,0,0
cross-body-arm,avatar,side,25.4,25.4,11.1,10.5,0,0
cross-body-arm,avatar,quarter,37.4,37.4,15.8,16.6,0,0
cross-body-arm,skeleton,front,39.0,39.0,39.0,50.5,0,0
cross-body-arm,skeleton,side,25.4,25.4,37.2,48.3,0,0
cross-body-arm,skeleton,quarter,37.4,37.4,38.4,49.8,0,0
cross-body-arm,ghost,front,39.0,39.0,25.3,36.2,0,0
cross-body-arm,ghost,side,25.4,25.4,22.5,35.8,0,0
cross-body-arm,ghost,quarter,37.4,37.4,24.3,36.2,0,0
face-touch,avatar,front,46.5,46.5,18.0,19.1,0,0
face-touch,avatar,side,24.6,24.6,11.2,11.4,0,0
face-touch,avatar,quarter,40.6,40.6,16.3,17.7,0,0
face-touch,skeleton,front,46.5,46.5,39.0,50.5,0,0
face-touch,skeleton,side,24.6,24.6,37.2,48.3,0,0
face-touch,skeleton,quarter,40.6,40.6,38.4,49.8,0,0
face-touch,ghost,front,46.5,46.5,24.9,36.7,0,0
face-touch,ghost,side,24.6,24.6,22.5,36.2,0,0
face-touch,ghost,quarter,40.6,40.6,24.0,36.5,0,0
hip-shift,avatar,front,42.3,42.3,15.1,15.7,0,0
hip-shift,avatar,side,35.3,35.3,10.6,10.5,0,0
hip-shift,avatar,quarter,42.7,42.7,13.5,13.9,0,0
hip-shift,skeleton,front,42.3,42.3,37.3,48.3,0,0
hip-shift,skeleton,side,35.3,35.3,36.3,47.1,0,0
hip-shift,skeleton,quarter,42.7,42.7,36.8,47.7,0,0
hip-shift,ghost,front,42.3,42.3,22.4,36.2,0,0
hip-shift,ghost,side,35.3,35.3,21.7,36.5,0,0
hip-shift,ghost,quarter,42.7,42.7,22.2,36.6,0,0
editorial-extreme-forward-lean,avatar,front,44.7,44.7,14.8,17.7,0,0
editorial-extreme-forward-lean,avatar,side,30.3,30.3,10.8,11.7,0,0
editorial-extreme-forward-lean,avatar,quarter,43.1,43.1,13.4,16.1,0,0
editorial-extreme-forward-lean,skeleton,front,44.7,44.7,37.3,48.3,0,0
editorial-extreme-forward-lean,skeleton,side,30.3,30.3,36.3,47.1,0,0
editorial-extreme-forward-lean,skeleton,quarter,43.1,43.1,36.8,47.7,0,0
editorial-extreme-forward-lean,ghost,front,44.7,44.7,22.8,38.2,0,0
editorial-extreme-forward-lean,ghost,side,30.3,30.3,21.8,37.0,0,0
editorial-extreme-forward-lean,ghost,quarter,43.1,43.1,22.6,37.5,0,0
wall-lean,avatar,front,54.9,54.9,34.6,42.7,0,0
wall-lean,avatar,side,22.5,22.5,10.8,10.4,0,0
wall-lean,avatar,quarter,45.7,45.7,27.2,33.0,0,0
wall-lean,skeleton,front,54.9,54.9,47.8,60.2,0,0
wall-lean,skeleton,side,22.5,22.5,36.6,47.5,0,0
wall-lean,skeleton,quarter,45.7,45.7,43.7,55.6,0,0
wall-lean,ghost,front,54.9,54.9,37.1,36.3,0,0
wall-lean,ghost,side,22.5,22.5,22.2,35.7,0,0
wall-lean,ghost,quarter,45.7,45.7,31.8,36.0,0,0
chair-lean-forward,avatar,front,18.3,18.3,11.3,33.2,0,0
chair-lean-forward,avatar,side,18.5,18.5,9.5,24.8,0,0
chair-lean-forward,avatar,quarter,20.1,20.1,11.1,30.7,0,0
chair-lean-forward,skeleton,front,18.3,18.3,37.3,48.3,0,0
chair-lean-forward,skeleton,side,18.5,18.5,36.3,47.1,0,0
chair-lean-forward,skeleton,quarter,20.1,20.1,36.8,47.7,0,0
chair-lean-forward,ghost,front,18.3,18.3,20.5,44.7,0,0
chair-lean-forward,ghost,side,18.5,18.5,20.2,44.9,0,0
chair-lean-forward,ghost,quarter,20.1,20.1,20.5,45.4,0,0
table-elbow-single,avatar,front,31.5,31.5,14.6,28.2,0,0
table-elbow-single,avatar,side,25.9,25.9,11.4,25.4,0,0
table-elbow-single,avatar,quarter,29.0,29.0,12.2,26.1,0,0
table-elbow-single,skeleton,front,31.5,31.5,37.3,48.3,0,0
table-elbow-single,skeleton,side,25.9,25.9,36.3,47.1,0,0
table-elbow-single,skeleton,quarter,29.0,29.0,36.8,47.7,0,0
table-elbow-single,ghost,front,31.5,31.5,21.3,38.0,0,0
table-elbow-single,ghost,side,25.9,25.9,20.1,42.6,0,0
table-elbow-single,ghost,quarter,29.0,29.0,20.7,44.5,0,0
couple-embrace,avatar,front,47.4,47.4,15.4,16.6,0,0
couple-embrace,avatar,side,24.5,24.5,9.8,9.7,0,0
